1,7,11; 2,11,6; 8,6,5; 10,5,4; 12,4,3; 9,3,7;
1,9,11; 2,11,8; 10,8,3; 6,3,12; 4,12,5; 7,5,9;
1,10,11; 3,11,8; 2,8,12; 4,12,6; 9,6,7; 5,7,10;
1,11,10; 3,10,9; 5,9,8; 2,8,12; 6,12,4; 7,4,11;
1,10,9; 3,9,8; 5,8,7; 11,7,2; 12,2,6; 4,6,10;
1,7,12; 3,12,5; 9,5,6; 4,6,10; 8,10,2; 11,2,7;
1,11,10; 4,10,8; 2,8,12; 3,12,7; 9,7,6; 5,6,11;
1,9,10; 4,10,6; 12,6,2; 11,2,7; 5,7,8; 3,8,9;
1,10,11; 5,11,6; 9,6,7; 3,7,12; 2,12,8; 4,8,10;
1,11,10; 5,10,7; 9,7,6; 4,6,12; 2,12,8; 3,8,11;
1,7,11; 5,11,3; 12,3,4; 6,4,9; 8,9,2; 10,2,7;
1,11,9; 7,9,5; 4,5,12; 6,12,3; 10,3,8; 2,8,11;
1,10,9; 7,9,4; 5,4,11; 3,11,6; 12,6,2; 8,2,10;
1,10,11; 7,11,4; 6,4,12; 2,12,8; 5,8,9; 3,9,10;
1,10,9; 7,9,4; 11,4,5; 3,5,12; 6,12,2; 8,2,10;
1,9,10; 8,10,2; 6,2,12; 3,12,5; 11,5,4; 7,4,9;
1,9,10; 8,10,2; 12,2,6; 3,6,11; 5,11,4; 7,4,9;
1,11,7; 9,7,3; 12,3,4; 10,4,5; 8,5,6; 2,6,11;
1,11,7; 10,7,2; 8,2,9; 6,9,4; 12,4,3; 5,3,11;
1,12,7; 11,7,2; 8,2,10; 4,10,6; 9,6,5; 3,5,12;
2,6,12; 3,12,5; 7,5,8; 11,8,1; 9,1,10; 4,10,6;
2,8,10; 4,10,6; 9,6,5; 3,5,12; 7,12,1; 11,1,8;
2,12,6; 4,6,10; 9,10,1; 11,1,8; 7,8,5; 3,5,12;
2,5,12; 4,12,3; 9,3,7; 11,7,1; 10,1,8; 6,8,5;
2,6,11; 5,11,3; 9,3,7; 4,7,8; 10,8,1; 12,1,6;
2,5,12; 6,12,1; 10,1,8; 4,8,7; 9,7,3; 11,3,5;
2,12,5; 6,5,8; 10,8,1; 11,1,7; 9,7,3; 4,3,12;
2,8,9; 6,9,4; 12,4,3; 5,3,11; 7,11,1; 10,1,8;
2,9,8; 10,8,1; 7,1,11; 5,11,3; 12,3,4; 6,4,9;
2,10,8; 11,8,1; 7,1,12; 3,12,5; 9,5,6; 4,6,10;
2,12,5; 11,5,3; 9,3,7; 4,7,8; 10,8,1; 6,1,12;
2,11,6; 12,6,1; 10,1,8; 4,8,7; 9,7,3; 5,3,11;
3,5,10; 7,10,1; 9,1,8; 6,8,4; 12,4,2; 11,2,5;
3,10,5; 11,5,2; 12,2,4; 6,4,8; 9,8,1; 7,1,10;
4,6,7; 8,7,2; 12,2,3; 9,3,5; 11,5,1; 10,1,6;
4,7,6; 8,6,3; 12,3,2; 10,2,5; 11,5,1; 9,1,7;
4,6,7; 9,7,1; 11,1,5; 10,5,2; 12,2,3; 8,3,6;
4,7,6; 10,6,1; 11,1,5; 9,5,3; 12,3,2; 8,2,7;
6,2,9; 7,9,1; 11,1,5; 8,5,4; 10,4,3; 12,3,2;
6,9,2; 12,2,3; 10,3,4; 8,4,5; 11,5,1; 7,1,9;
